               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053012,            0.023984,            0.020015,             0.39282,              0.4058,             0.38288,             0.11386,            0.057518,            0.029467,            0.022651,           0.0071125,           0.0071125,           0.0071125
                  37,            0.057549,            0.022799,            0.018336,              0.2698,             0.49955,             0.31228,            0.078594,            0.064275,            0.028808,            0.020444,             0.00703,             0.00703,             0.00703
                  38,            0.055201,            0.026091,            0.017852,             0.42225,              0.5125,             0.39279,             0.10411,            0.060858,            0.028045,            0.020343,           0.0069475,           0.0069475,           0.0069475
                  39,            0.051272,            0.024873,            0.016413,             0.48457,             0.32925,             0.37055,             0.13232,            0.059242,             0.03071,            0.019535,            0.006865,            0.006865,            0.006865
                  40,            0.053579,            0.024614,            0.015606,             0.39343,             0.46563,             0.33603,             0.10115,             0.06371,            0.029143,            0.019882,           0.0067825,           0.0067825,           0.0067825
                  41,            0.054783,            0.024809,            0.013856,              0.4414,             0.53101,             0.41478,             0.13432,            0.058745,            0.029856,             0.01713,              0.0067,              0.0067,              0.0067
                  42,             0.05328,            0.022213,            0.012176,             0.50438,             0.48259,             0.41623,             0.13339,             0.06048,            0.028919,            0.016587,           0.0066175,           0.0066175,           0.0066175
                  43,            0.053201,            0.023207,            0.011932,              0.4817,             0.51116,             0.44612,             0.14317,            0.058137,            0.028687,             0.01618,            0.006535,            0.006535,            0.006535
                  44,            0.051129,            0.023214,           0.0098733,             0.39041,             0.49942,             0.34091,            0.093023,            0.063538,            0.029361,            0.017713,           0.0064525,           0.0064525,           0.0064525
                  45,            0.050537,            0.024627,           0.0091753,             0.39323,             0.49688,             0.37625,               0.106,            0.059724,            0.029585,            0.017506,             0.00637,             0.00637,             0.00637
                  46,            0.052916,            0.023381,           0.0090806,             0.35497,             0.45134,             0.34672,             0.10684,            0.060253,            0.029343,            0.015464,           0.0062875,           0.0062875,           0.0062875
                  47,            0.053394,            0.023767,            0.007161,             0.40338,             0.41116,             0.35305,             0.10576,            0.059107,            0.028692,            0.015954,            0.006205,            0.006205,            0.006205
                  48,            0.052806,            0.023906,             0.00752,             0.41676,             0.42143,             0.36676,            0.091085,            0.062876,            0.028311,            0.017193,           0.0061225,           0.0061225,           0.0061225
                  49,            0.049844,            0.023298,            0.007211,               0.493,              0.4058,             0.40925,             0.11944,            0.059044,             0.03008,            0.015573,             0.00604,             0.00604,             0.00604
                  50,            0.050162,            0.023673,           0.0058516,             0.42927,             0.37979,             0.35697,             0.10158,            0.064345,            0.030983,             0.01616,           0.0059575,           0.0059575,           0.0059575
                  51,            0.050481,             0.02174,           0.0063555,             0.57523,             0.34598,              0.3674,            0.099577,            0.063038,            0.031689,            0.015151,            0.005875,            0.005875,            0.005875
                  52,            0.051815,            0.023187,           0.0061068,             0.52174,             0.43819,             0.44311,             0.12315,            0.059369,            0.030036,            0.013936,           0.0057925,           0.0057925,           0.0057925
                  53,            0.049732,            0.022487,           0.0059607,             0.44661,             0.42946,             0.41942,             0.12119,             0.06014,            0.029217,             0.01279,             0.00571,             0.00571,             0.00571
                  54,             0.05027,            0.022925,           0.0055273,             0.58532,             0.43705,              0.4925,             0.13803,            0.060206,            0.028524,            0.012976,           0.0056275,           0.0056275,           0.0056275
                  55,            0.047959,            0.020227,           0.0057498,             0.48124,             0.48393,             0.47279,             0.14492,            0.059118,            0.029627,             0.01121,            0.005545,            0.005545,            0.005545
                  56,            0.049386,            0.022776,           0.0052266,             0.37469,             0.49046,             0.38792,              0.1167,            0.061724,             0.02974,            0.011583,           0.0054625,           0.0054625,           0.0054625
                  57,            0.050218,            0.024716,           0.0054582,             0.46661,             0.45823,             0.40084,             0.11245,            0.060848,            0.029351,            0.013024,             0.00538,             0.00538,             0.00538
                  58,            0.048669,            0.023055,           0.0048185,             0.43632,             0.45268,              0.3851,             0.11738,            0.061622,             0.02917,            0.012849,           0.0052975,           0.0052975,           0.0052975
                  59,            0.046828,            0.024281,           0.0041706,             0.46599,             0.54375,             0.46052,             0.13663,             0.06009,            0.029076,             0.01276,            0.005215,            0.005215,            0.005215
                  60,            0.047383,            0.022014,           0.0038002,             0.40187,             0.56243,             0.41145,             0.13348,            0.063156,            0.029915,            0.014198,           0.0051325,           0.0051325,           0.0051325
                  61,            0.047901,            0.021427,           0.0038313,             0.54988,             0.45047,             0.40549,             0.10984,            0.060346,            0.030817,            0.016176,             0.00505,             0.00505,             0.00505
                  62,            0.047294,            0.021347,           0.0036681,             0.43598,             0.60858,             0.45413,             0.13556,            0.059186,            0.029706,             0.01423,           0.0049675,           0.0049675,           0.0049675
                  63,            0.047447,            0.021735,           0.0029851,             0.56662,             0.52545,             0.47672,             0.13383,            0.061278,            0.029109,            0.012976,            0.004885,            0.004885,            0.004885
                  64,             0.04574,            0.022422,           0.0042165,             0.60188,             0.55804,             0.50725,             0.15177,             0.05798,            0.030097,            0.012915,           0.0048025,           0.0048025,           0.0048025
                  65,            0.046865,             0.02213,           0.0036828,             0.57884,             0.52645,             0.48339,             0.16094,            0.058895,            0.031433,            0.011817,             0.00472,             0.00472,             0.00472
                  66,            0.045529,            0.022979,           0.0031099,             0.57603,             0.58459,             0.52231,             0.17513,            0.057782,            0.030334,            0.012835,           0.0046375,           0.0046375,           0.0046375
                  67,            0.046466,            0.021984,           0.0045824,             0.50178,             0.55536,             0.47131,             0.13874,            0.058461,            0.030872,            0.012529,            0.004555,            0.004555,            0.004555
                  68,            0.046221,            0.022113,           0.0030473,             0.62743,             0.52679,             0.53146,             0.18486,            0.058119,            0.029981,            0.011408,           0.0044725,           0.0044725,           0.0044725
                  69,            0.045326,            0.021624,           0.0034528,             0.55224,             0.53157,             0.48204,             0.15159,            0.059475,            0.030314,            0.012141,             0.00439,             0.00439,             0.00439
                  70,            0.047831,            0.022565,           0.0033204,             0.64616,             0.50982,             0.51751,             0.15559,            0.059121,            0.030303,            0.011641,           0.0043075,           0.0043075,           0.0043075
                  71,            0.042692,            0.021282,           0.0031627,             0.59537,             0.53871,             0.49668,             0.15907,            0.058445,            0.029895,            0.011512,            0.004225,            0.004225,            0.004225
                  72,            0.042951,            0.020486,           0.0028266,             0.71249,             0.48125,             0.54581,             0.16384,            0.056904,             0.03027,            0.011285,           0.0041425,           0.0041425,           0.0041425
                  73,            0.042508,            0.021809,           0.0026004,              0.5998,             0.52411,             0.51485,             0.15348,             0.05854,            0.031476,             0.01178,             0.00406,             0.00406,             0.00406
                  74,            0.042751,            0.022002,           0.0033733,             0.62282,             0.49688,             0.50462,             0.13624,            0.058294,            0.032024,            0.013107,           0.0039775,           0.0039775,           0.0039775
                  75,            0.042235,            0.020163,           0.0029066,             0.60481,             0.58527,             0.56725,             0.14392,            0.060488,            0.031794,            0.013848,            0.003895,            0.003895,            0.003895
                  76,            0.043962,            0.020821,           0.0021875,               0.601,              0.5778,             0.55549,             0.15589,              0.0589,             0.03161,            0.014185,           0.0038125,           0.0038125,           0.0038125
                  77,            0.044975,             0.01993,           0.0026642,             0.54917,             0.52494,             0.49388,             0.13716,            0.059405,            0.031661,             0.01538,             0.00373,             0.00373,             0.00373
                  78,            0.043034,            0.021526,           0.0020774,             0.54914,             0.51518,             0.45413,             0.12555,            0.059885,             0.03161,            0.016875,           0.0036475,           0.0036475,           0.0036475
                  79,            0.040873,            0.022261,           0.0019891,             0.64001,             0.53717,             0.47933,             0.14993,            0.058412,            0.031948,            0.016173,            0.003565,            0.003565,            0.003565
